,Simple ratio (SR),Salinity index (SI),Salinity index 1 (SI1),Salinity index 2 (SI2),Salinity index 3 (SI3),Salinity index 4 (SI4),Intensity index 1 (Int1),Intensity index 2 (Int2),Ratio vegetation index (RVI),Normalized difference salinity index (NDSI),Normalized difference vegetation index (NDVI)
0,-0.18028905776727494,1433.805265675384,965.8052475020138,1259.7067541703204,2030.7963213318571,1378.6994708458035,970.3571228052267,1715.8974416050391,0.7137344416752518,-0.16704195898922988,0.16704195898922988
1,-0.417535066095281,1394.9629403571037,1028.0621631932277,1738.1332016741778,3014.7274309988516,1471.6261019102576,1034.3484672249795,2349.9185052116836,0.4363933981675773,-0.3923762129173121,0.3923762129173121
2,-0.146435339783907,1115.8189347811078,805.5782652613432,995.4691144552727,1618.5298904537028,1145.3086105079706,807.7197063689,1379.5385572710838,0.7576674882949219,-0.13787164712260797,0.13787164712260797
3,-0.11565063826253834,1846.439331470569,1284.7409004314702,1556.357653470774,2520.798435496545,1829.603388140281,1289.2407572266443,2156.2725032583903,0.8055431732188478,-0.10769990419807161,0.10769990419807161
4,-0.18155807682108185,1426.7309988730806,928.8080980679206,1216.7236997363893,1959.0280763195692,1326.811446646577,933.5145393920598,1654.1674358782893,0.7126424207167303,-0.16778609230233377,0.16778609230233377
5,-0.15889228471788322,1648.8299440868186,1142.6270159167009,1442.2711759941526,2335.2224705342283,1627.1097929326631,1146.5905190239869,1984.1133110467786,0.7413795250796233,-0.14851470985829543,0.14851470985829543
6,-0.5732582103034565,969.2517804352048,727.3915396236872,1496.2992535045269,2961.1040306983346,1039.907284391278,731.3692747105047,2117.6169005414636,0.2912696919493302,-0.5488631170307686,0.5488631170307686
7,-0.15697431323910557,1435.0631901879042,998.489852591609,1256.5070250101974,2035.4679189337185,1421.5442878135252,1001.8423196381864,1730.2552325510994,0.7439000338657045,-0.14685472857443474,0.14685472857443474
8,-0.4394695360756731,1222.0976297144123,856.4216858372249,1473.9634750017178,2601.4087986369823,1223.2024183059561,860.6887306242147,2008.6329345684187,0.41216574329405054,-0.41626435104901616,0.41626435104901616
9,-0.15334881725906496,1614.751734158932,1127.158758465767,1413.1962515161356,2289.3275753572034,1604.6742649054797,1130.92365237691,1947.3244808369486,0.7490970534192983,-0.14344712667042295,0.14344712667042295
10,-0.5528017914861172,1019.6095699634297,763.1436318488363,1517.6240382637975,2946.0411337635423,1089.5288665166386,766.7870559412006,2135.3707408919736,0.3074154466608983,-0.52973563614224,0.52973563614224
11,-0.5803264345111522,1159.2535507186299,827.6085971204757,1792.7435081081587,3507.481388631775,1201.8573068715182,838.7986895161291,2486.369985812425,0.2959973966604151,-0.5432129764717821,0.5432129764717821
12,-0.30892931482011116,945.8369296383635,693.4743593623796,1031.2696755336713,1705.7632673153023,990.3491299371839,696.8867866004963,1391.2996545966976,0.5513774284988996,-0.289176936095547,0.289176936095547
13,-0.39294266188994054,1630.934763293116,1171.8000416305886,1924.286262920468,3292.152360408888,1676.9013987816459,1178.794826970192,2595.3283478328267,0.4613448272055417,-0.36860237417372754,0.36860237417372754
14,-0.604834679247476,923.0182708019695,694.9759481983781,1503.0123771542096,3080.0095413847503,994.485413577126,699.1037789495449,2156.6237219694876,0.265849661029576,-0.5799664538151429,0.5799664538151429
15,-0.3646220129023063,1340.3565128125686,985.9613983251941,1526.7014239689904,2605.3918396456615,1401.925467226138,988.6398198575619,2086.668920386662,0.483304155959121,-0.34834112880023427,0.34834112880023427
16,-0.621193433483162,978.371520932622,734.4340012332655,1638.6552580510765,3417.4994320628557,1052.9213578198928,739.4981389578163,2365.1256318353094,0.25402305184663476,-0.5948670138518292,0.5948670138518292
17,-0.37127536988231724,1447.5736443259832,1066.3747205257862,1701.870242117349,2884.5116148025377,1524.2231862693748,1072.0968252347898,2296.550880555934,0.482956382572524,-0.3486573330838946,0.3486573330838946
18,-0.18036657274484202,1371.9762260626073,967.624842699723,1261.4907250723743,2034.1692799643918,1381.132598635859,972.1269113950565,1718.8392731074182,0.7135122768656078,-0.1671932713890101,0.1671932713890101
19,-0.21668879011437295,1216.6721280401275,854.7116179344317,1138.833641093682,1855.0537693024326,1216.5090469775234,857.4611013104837,1557.6986013104838,0.6612563479326427,-0.20390811598035927,0.20390811598035927
20,-0.1502090499382947,1636.4125269644335,1139.17319827283,1444.8711167885472,2324.973335305081,1626.5253523448018,1144.6632554103717,1975.3130444399076,0.7564187918169804,-0.13868059788351483,0.13868059788351483
21,-0.341323434924249,1513.9164393602716,1106.237721957796,1664.1539955319133,2815.0395486830757,1572.0218545808666,1108.915743670886,2276.519588021566,0.5078506355553644,-0.32639132341073657,0.32639132341073657
