,Coastal,Blue,Green,Red,NIR,Extra
0,477.1898734177215,650.5623869801084,876.4786392405064,1064.235606369947,1491.080637599625,1529.098452883263
1,574.0666666666667,757.6630036630037,920.4847756410256,1148.2121588089333,2631.1400759734092,2678.474358974359
2,443.04743589743595,581.596459096459,748.9423076923077,866.4971050454923,1143.6377018043681,1179.4387464387464
3,643.9961038961039,893.9146567717996,1181.6185064935064,1396.8630079597822,1734.0634920634923,1787.2077922077924
4,424.04358974358985,604.6581196581197,839.8934294871797,1027.1356492969398,1441.3057929724591,1455.7008547008547
5,563.6141025641025,791.8321123321124,1051.3365384615386,1241.8444995864352,1675.0455840455836,1716.1837606837605
6,364.575641025641,545.8833943833944,655.1947115384617,807.5438378825476,2772.495251661918,2805.8133903133903
7,519.8040540540542,694.7303732303733,919.9518581081081,1083.7327811682649,1456.8258258258259,1502.882882882883
8,408.951948051948,600.1632653061225,775.0909090909093,946.28655215752,2295.888407888408,2354.7417027417027
9,579.8710526315789,786.8001253132834,1038.720394736842,1223.1269100169782,1632.8016569200774,1697.311403508772
10,386.27088607594936,571.1874623267029,692.126582278481,841.4475296039202,2737.1673699015464,2811.3755274261603
11,437.01624999999996,590.8422619047619,702.2437500000001,975.3536290322579,3295.142592592592,3334.508333333333
12,399.2038461538462,508.44566544566544,628.0064102564102,765.7671629445824,1388.8257359924023,1477.514245014245
13,623.6367088607594,841.919228450874,1050.568829113924,1307.0208248264598,2833.06704172527,2902.1153305203934
14,337.6884615384616,523.2741147741148,623.2451923076923,774.9623655913977,2915.039886039886,2990.564102564102
15,513.6298701298701,725.269635126778,915.9155844155842,1061.3640552995394,2196.0582010582007,2261.2510822510826
16,363.0692307692308,551.3174603174604,653.102564102564,825.8937138130685,3251.254985754986,3273.4529914529917
17,608.9607594936708,785.5593731163353,961.4778481012659,1182.7158023683137,2448.9081106422873,2533.2053445850916
18,514.2467532467533,682.4446505875078,878.6769480519481,1065.5768747381649,1493.4247234247232,1536.6147186147186
19,437.4287499999999,600.4345238095239,788.8492187499999,926.0729838709676,1400.4750000000001,1449.175
